"name","year","country","description","url","kinopoisk","wiki","pic"
"Благородный разбойник Владимир Дубровский",1988,"СССР","реж. Вячеслав Никифоров — фильм и 4-х серийная расширенная телеверсия под названием «Дубровский» (1988)","https://www.youtube.com/watch?v=rtOzXHmv7qg","https://www.kinopoisk.ru/series/46142/","https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D1%80%D0%B0%D0%B7%D0%B1%D0%BE%D0%B9%D0%BD%D0%B8%D0%BA_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9","https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/bf96c239-50b7-48d4-8b40-e47fa3febcbc/600x900"
"Дубровский",2014,"Россия","Действие фильма перенесено в наши дни. Владимир Дубровский — успешный столичный юрист и завсегдатай модных клубов, Маша Троекурова — выпускница английского колледжа и нежная дочь… Хозяева собственных судеб, они едва ли похожи на героев Пушкина. Но внезапная ссора их отцов решительно меняет жизнь Владимира и Маши — они погружаются в реальность, где действуют совсем другие законы…","https://www.youtube.com/watch?v=IbflLkIdYpM","https://www.kinopoisk.ru/film/677731/","https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2014)","https://upload.wikimedia.org/wikipedia/ru/b/b8/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D1%81%D1%82%D0%B5%D1%80.jpg"
"Евгений Онегин",1958,"СССР","Фильм-опера. В роли Онегина — Вадим Медведев, партию исполняет Евгений Кибкало. В роли Татьяны — Ариадна Шенгелая, партию исполняет Галина Вишневская. В роли Ольги — Светлана Немоляева","https://www.youtube.com/watch?v=odMoa7I_hnU","https://www.kinopoisk.ru/film/42455/","https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9E%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1958)","https://upload.wikimedia.org/wikipedia/ru/9/94/%D0%9F%D0%BE%D1%81%D1%82%D0%B5%D1%80_%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%B0_%C2%AB%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9E%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD%C2%BB_%28%D0%A1%D0%A1%D0%A1%D0%A0%2C_1958_%D0%B3.%29.jpg"
"Онегин",1999,"Великобритания","В роли Евгения Онегина — Рэйф Файнс, Татьяна Ларина — Лив Тайлер, Владимир Ленский — Тоби Стивенс","https://www.ivi.ru/watch/63167","https://www.kinopoisk.ru/film/5528/","https://ru.wikipedia.org/wiki/%D0%9E%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)","https://upload.wikimedia.org/wikipedia/ru/1/16/Onegin_film_1999.jpg"
"Капитанская дочка (Гвардии сержант)",1928,"СССР","реж. Юрия Тарича. Сценарист Виктор Шкловский","https://www.youtube.com/watch?v=EmMY8s-f7L8","https://www.kinopoisk.ru/film/672752/","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)","https://www.kino-teatr.ru/movie/poster/8557/66022.jpg"
"Капитанская дочка",1958,"СССР","фильм Владимира Каплуновского. В ролях: Олег Стриженов (Петр Гринёв), Сергей Лукьянов (Емельян Пугачёв)","https://www.youtube.com/watch?v=aK7LP2ipWQY","https://www.kinopoisk.ru/film/44707/","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1958)","https://upload.wikimedia.org/wikipedia/ru/2/2d/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0_%D0%BF%D0%BE%D1%81%D1%82%D0%B5%D1%80.jpg"
"Русский бунт",2000,"Россия","реж. Александр Прошкин","https://www.ivi.ru/watch/114971","https://www.kinopoisk.ru/film/40718/","https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D0%B1%D1%83%D0%BD%D1%82","https://ruskino.ru/media/poster/001/nC9gP5MGTxSNcofAsYIG87WPJ2i.jpg"
"Капитанская дочка",2005,"Россия","анимационный фильм, реж. Екатерина Михайлова","https://ok.ru/video/85226752619","https://www.kinopoisk.ru/film/424512/","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0_(%D0%BC%D1%83%D0%BB%D1%8C%D1%82%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)","https://upload.wikimedia.org/wikipedia/ru/4/4d/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0.jpg"
"Маленькие трагедии",1971,"СССР","телеверсия спектакля Ленинградского театра драмы имени А. С. Пушкина, в постановке Леонида Вивьен, реж. Антонин Даусон и Леонид Пчёлкин","https://youtu.be/du_EtLRe-7I","https://www.kinopoisk.ru/film/996827/","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B5_%D1%82%D1%80%D0%B0%D0%B3%D0%B5%D0%B4%D0%B8%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1971)","https://mtdata.ru/u3/photoD3D7/20633804397-0/original.jpg"
"Маленькие трагедии",1979,"СССР","реж. Михаил Швейцер","https://www.ivi.ru/watch/malenkie_tragedii","https://www.kinopoisk.ru/series/77280/","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B5_%D1%82%D1%80%D0%B0%D0%B3%D0%B5%D0%B4%D0%B8%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1979)","https://upload.wikimedia.org/wikipedia/ru/thumb/d/dd/Malen%27kie_tragedii.jpg/274px-Malen%27kie_tragedii.jpg"
